id	title	context	triplets
344	London-based HURR bags €4.7 million to take fashion rental to the mass market	Female-founded fashion rental marketplace from London,HURR, has just bagged €4.7 million, empowering women to extend the lifespan of their wardrobes. The funding round was led by Octopus Ventures, which has previously backed other circular economy leaders (including Depop and OLIO), with participation from D4 Ventures and Ascension. On a mission to redefine fashion ownership, HURR has been pioneering the rental revolution in the UK since its 2019 launch. The company was one of our sustainable fashion disruptors to watch for 2021. With a vision to make fashion more sustainable and circular, the startup offers shortcuts to having a sustainable and on-trend wardrobe, through renting, monthly refreshes and/or purchasing pre-owned clothing. HURR wants to empower its community to extend the lifespan and usability of its clothes, and look good while doing it.	<triplet> HURR <sub> €4.7 million <obj> RECEIVES  <triplet> Octopus Ventures <sub> €4.7 million <obj> INVESTS  <triplet> D4 Ventures and Ascension <sub> €4.7 million <obj> INVESTS 
4208	Simfy has raised €10m from existing investors	Earlier this month we already reported about the German music streaming service Simfy and its 1st birthday. I guess we should have waited some more days – because today we have much bigger news about the Cologne based startup. The Spotify-kind-of-service, which is available in German and English, has raised 10 million Euro from existing investors like Dumont Venture, Earlybird and the NRW Bank. According to Simfy’s press release, the fresh capital will be used for the further internationalization. The expansion into other European countries is planned for the second half of 2011. Simfy was founded in 2006 by Steffen Wicker and Christoph Lange. The platform officially launched in May of 2010 and has already over one million registered users. In order to grow its userbase Simfy partners with the German social network “StudiVZ” and other big Internet players out of Germany.	<triplet> Simfy <sub> 10 millionEuro <obj> RECEIVES  <triplet> Dumont Venture <sub> 10 millionEuro <obj> INVESTS  <triplet> Earlybird <sub> 10 millionEuro <obj> INVESTS  <triplet> NRW Bank <sub> 10 millionEuro <obj> INVESTS 
3274	Personalised shopping assistant Tailored.to secures $900k in seed funding	Tailored.to, the personalised shopping assistant that powers personalised advertising, today announced that it has closed the last tranche of a $900k seed investment round. Investors include Amadeus Capital, Ascension Ventures and several angel investors. The fresh capital will be used to rollout more publisher partners and deliver a Personalised Marketing Platform for advertisers. The London-based company was founded in 2015. Tailored’s personalised product recommendation technology is placed on a publisher’s web page alongside relevant editorial content. It allows users to instantly find the right product for their individual needs. Early user engagement data suggests Tailored can deliver a 10-fold improvement over other online marketing channels. Tailored’s product matching is powered by the entire wisdom of the web, using a vast bespoke database and an AI powered recommendation engine. The technology processes 40m pieces of product, review and price insight from the web daily. Tailored’s initial 20 technology focused product categories is growing weekly, boasting 300 brands, 6000 products and most major retailers are on board.	<triplet> Tailored.to <sub> $900k <obj> RECEIVES  <triplet> Amadeus Capital <sub> $900k <obj> INVESTS  <triplet> Ascension Ventures <sub> $900k <obj> INVESTS  <triplet> angel investors <sub> $900k <obj> INVESTS 
3603	Sleepio creator Big Health raises $12M to help millions with digital medicine	Digital health company Big Health today announced a new funding round of $12 million led by Octopus Ventures with Kaiser Permanente Ventures, returning investor Index Ventures, as well as Sean Duffy (CEO, Omada Health) and JamJar Investments. They join existing investors Esther Dyson and Peter Read. We first introduced you to Big Health in 2014, when they raised $3.3 million. Co-founded by Peter Hames and Professor Colin Espie in 2010, Big Health is a pioneer in “digital medicine.” By automating evidence-based, non-drug solutions like Cognitive Behavioral Therapy (CBT), Big Health is making them as scalable and accessible as pharmaceuticals. The young company is based in London and San Francisco. Big Health’s first product, Sleepio, is a digital sleep improvement program which helps users overcome poor sleep, and in the process improve their mental health and wellbeing. In the world’s first placebo-group randomized controlled trial (RCT) for a digital sleep program, Sleepio was shown to be comparable in effect to in-person CBT, with 76% of insomnia sufferers achieving healthy sleep (Espie, 2012), and in a separate study shown to be effective in helping anxiety sufferers reduce their symptoms (Pillai, 2015).	<triplet> Big Health <sub> $12 million <obj> RECEIVES  <triplet> Octopus Ventures <sub> $12 million <obj> INVESTS  <triplet> Kaiser Permanente Ventures <sub> $12 million <obj> INVESTS  <triplet> Index Ventures <sub> $12 million <obj> INVESTS  <triplet> Sean Duffy <sub> $12 million <obj> INVESTS 
1939	London-based Currencycloud gets €72.5 million to fuel its cross-border payments platform	London-based fintechCurrencycloud, a leader in embedded B2B cross-border payments, today announces that it has secured an additional €72.5 million in funding to fuel the next phase of its growth story. Backing came from leading global institutions such as Visa, International Finance Corporation (a member of the World Bank Group), BNP Paribas, SBI Group and Siam Commercial Bank. Existing investors Sapphire Ventures, Notion Capital, GV, Accomplice, and Anthemis, also participated in the round. This latest round brings the company’s total funding to over €127 million. Currencycloud, founded in 2012, is re-imagining the way money flows. Today, the fintech startup has 85 different APIs across four modules – collect, convert, manage and pay – that cover the entire workflow in B2B cross-border payments. The as-a-service platform is proprietary and fully cloud-based, working with banks and fintechs globally including Starling Bank, Standard Bank South Africa and Brookline Bank. At the end of last year the company made its most significant update to its product line, with the launch of Currencycloud Spark, a solution providing multi-currency accounts for banks and fintechs to collect, store, convert and pay in more than 35 currencies.	<triplet> Currencycloud <sub> €127 million <obj> RECEIVES  <triplet> Sapphire Ventures <sub> €127 million <obj> INVESTS  <triplet> Notion Capital <sub> €127 million <obj> INVESTS  <triplet> GV <sub> €127 million <obj> INVESTS  <triplet> Accomplice <sub> €127 million <obj> INVESTS  <triplet> Anthemis <sub> €127 million <obj> INVESTS  <triplet> Visa <sub> €127 million <obj> INVESTS  <triplet> International Finance Corporation <sub> €127 million <obj> INVESTS  <triplet> BNP Paribas <sub> €127 million <obj> INVESTS  <triplet> SBI Group <sub> €127 million <obj> INVESTS  <triplet> Siam Commercial Bank <sub> €127 million <obj> INVESTS 
1190	London-based digital payments startup Pomelo Pay raises €2.3 million	Digital payments startupPomelo Payhas secured a €2.3 million investment in a seed funding round led by Force Over Mass. The funding will enable the hardware-free digital payment service provider to grow its offering and continue to help businesses – from independent startups to multinationals – navigate the current economic climate by enabling them to take digital payments easily and immediately. Pomelo Pay allows businesses to take payments from anyone, in any location (physical or digital), at a low cost and without the need for hardware. Its offer, which combines the latest QR code, API and NFC technology, provides a flexible payment solution for a broad range of payment options including in-person payments, payment links, online shops, contactless table ordering and menu makers. Pomelo Pay serves companies across a multitude of sectors, including construction and trades, food and drink and travel and hospitality. Its flexible approach enables businesses to quickly adapt to changing circumstances while operating safely and securely.	<triplet> Force Over Mass. <sub> €2.3 million <obj> INVESTS  <triplet> Pomelo Pay <sub> €2.3 million <obj> RECEIVES 
3739	Finnish mobile game startup Kopla Games secures €700K seed investment	The Tampere-based mobile game startup Kopla Games announced today that it has secured a seed investment of €700,000. The fresh capital comes from German angel investor and serial entrepreneur Klaas Kersting, who founded the online games provider Gameforge and the mobile game publisher flaregames. Kersting has acted as an early stage investor for many startups including Supercell, Spacetime Studios and iQU. In 2015 Kopla raised its pre-seed round worth €100K from Sisu Game Ventures and other investors. Founded in 2015 by four seasoned game developers, Kopla Games’ mission is to introduce action RPGs to everyone. The team’s speciality is their systematic approach to quickly discovering what the players are truly interested in, by continuously validating their direction with feedback and metrics, only focusing on what has the potential of becoming the next big thing. Kopla Games’ debut title, codenamed ‘Project Nonstop’, will be launched in cooperation with flaregames later this year. Klaas Kersting, who just invested in Kopla Games, stated: “They have very impressive plans to expand their team in a scalable way and have an awesome first product that is already showing itself to be a potential hit.”	<triplet> Kopla Games <sub> €700,000 <obj> RECEIVES  <triplet> Klaas Kersting <sub> €700,000 <obj> INVESTS 
2264	London-based Spirable raises €6.7 million to grow its personalised video advertising platform	Since launching in 2014, London-based Spirable has created and distributed over 100 million personalised videos in over 50 countries. Its platform automatically creates and optimises tailored video ads across social, CRM, messenger and display channels, using data such as location, pricing, and weather to dynamically change the content people see in real-time. Its clients include major brands such as Johnson & Johnson, Domino’s, and Vodafone. Spirable announced today that it has closed a €6.7 million Series A investment round led by Smedvig Capital, alongside existing backers Frontline Ventures, Downing Ventures, and 24 Haymarket.	<triplet> Spirable <sub> €6.7 million <obj> RECEIVES  <triplet> Smedvig Capital <sub> €6.7 million <obj> INVESTS  <triplet> Frontline Ventures <sub> €6.7 million <obj> INVESTS  <triplet> Downing Ventures <sub> €6.7 million <obj> INVESTS  <triplet> 24 Haymarket <sub> €6.7 million <obj> INVESTS 
2475	Amsterdam-based Office App raises €4.3 million to expand its office management platform	Amsterdam-based Office App is an office management platform that allows tentants and employees to book events and desks, view and book available parking spaces, personal messaging, manage energy usage, and more. Office App is currently used in 10 countries throughout Europe with customers including LaSalle, UBS, BNP Paribas, Nuveen, HPE and Dell. Founded in 2015, Office App has just announced a €4.3 million Series A funding round. The round was led by German VC Join Capital and Austria-based SIGNA Innovations, the Venture Capital Unit, along with UK-based specialist Proptech VC Pi Labs. The startup plans to use the funding to expand its data and analytics offering, cement its position in Europe as well as expanding its teams in Amsterdam, London, and North America. Office App offers a large suite of functionalities and services available, ranging from room booking, intra-organisation community, access control, maintenance requests, on-demand catering, to local amenities. By combining all tenant focused services under one roof, Office App is aiming to improve and provide the best employee experience, whilst allowing landlords and office managers to access end-user data and insights to constantly improve the office environment.	<triplet> Office App <sub> €4.3 million <obj> RECEIVES  <triplet> Join Capital <sub> €4.3 million <obj> INVESTS  <triplet> SIGNA Innovations <sub> €4.3 million <obj> INVESTS  <triplet> Pi Labs <sub> €4.3 million <obj> INVESTS  <triplet> Venture Capital Unit <sub> €4.3 million <obj> INVESTS 
503	Paris-based design and deco startup Plum raises €5 million in seed funding to expand across Europe	Plum, the design and deco startup aiming at developing a high-end fully catered interior design services platform, announced today that it has raised €5 million in seed funding led by firstminute Capital, with contributions from Partech, and several business angels, including Luke Sherwin, co-founder of Casper and Block Renovation, and Adrien Montfort, co-founder of Sorare. The funds will be used to expand Plum’s service offering and kick-off its geographic expansion, starting with Germany and the UK. Launched in 2019, by two like-minded sisters, Plum provides easy-to-access decor inspiration – from ideation to execution for both consumer and business clients – via a convenient, online one-stop shop. Capitalising on an increasingly growing sector, expected to be worth $255.4 billion globally by 2027, Plum recorded a noteworthy €2.7 million in revenue in 2020, and is set to reach a €10 million sales target by the end of this year. “We are on a mission to unleash our customers’ creative potential, by providing them with meaningful and inspirational DIY and interior design content, top-of-the-line products, and expert advice and guidance; ultimately, we want to be the creative partner of choice when it comes to interior design,” stated Plum co-founder, Amandine Julia.	<triplet> Plum <sub> €5 million <obj> RECEIVES  <triplet> firstminute Capital <sub> €5 million <obj> INVESTS  <triplet> Partech <sub> €5 million <obj> INVESTS  <triplet> Luke Sherwin <sub> €5 million <obj> INVESTS  <triplet> Adrien Montfort <sub> €5 million <obj> INVESTS 
2596	London-based Acre secures €5.8 million to transform the mortgage application process using blockchain	Buying a home is a huge financial commitment, and can be an experience wrought with stress and frustration. That is why more than 70% of homebuyers getting a mortgage use a broker to help the process who will help them to navigate through the complex financial tasks associated with buying a home. However, brokers themselves are slowed by outdated processes, fragmented workflows, and compliance headaches. London-based Acre‘s broker platform uses blockchain technology to consolidate detailed consumer and property data, and to bring together all the components of the mortgage application process into one unchangeable ‘record of transaction’. Its software puts brokers back in control of their business and offers a faster, easier experience for consumers. Acre has now raised a €5.8 million round from Aviva and Sesame Bankhall Group (SBG), one of the UK’s largest distributors of financial advice. Acre will also be entering into an exclusive partnership with SBG, which will help it to expand its client base.	<triplet> Aviva <sub> €5.8 million <obj> INVESTS  <triplet> Sesame Bankhall Group <sub> €5.8 million <obj> INVESTS  <triplet> Acre <sub> €5.8 million <obj> RECEIVES 
4071	Worth reading: Weekdone, Kabbee, Atomico, UseTrace, Xing, Azimo	There are so many interesting stories out there and unfortunately we do not have the time to cover all of them. With our section “Worth reading” we provide you (once in a while) with some links to interesting articles of other publications: Estonia-based Weekdone has won at the Scandinavian startup conference Slush and raised $200,000 led by KIMA Ventures. The young company offers a Software-as-a-Service solution for managers to help them monitor and manage their team. Learn more about Weekdone and visit GoalEurope. The London-based Taxi comparison service Kabbee has completed a £3.8m Series A funding round. Octopus Investments, whose past investments include Zoopla.com, Graze.com and SwiftKey led the round. Visit TechCityNews for more info.	<triplet> Weekdone <sub> $200,000 <obj> RECEIVES  <triplet> KIMA Ventures <sub> $200,000 <obj> INVESTS  <triplet> Octopus Investments <sub> £3.8m <obj> INVESTS  <triplet> Kabbee <sub> £3.8m <obj> RECEIVES 
316	Swedish startup Voi raises over €101 million to deliver safe and sustainable micromobility for everyone	VoiTechnology, one ofEurope’s micromobility giants, has just raised €101.8 million in an oversubscribed funding round to continue its vision for a revolutionised approach to urban transport. The funding was led by Raine Group and VNV Global including Inbox Capital, Nordic Ninja, Stena Sessan, Kreos Capital and new investors Ilmarinen, Nineyards Equity and ICT Capital and others. Leading entrepreneurs and operators from King, Avito, BCG and more also participated in the fundraising round. The fresh funding boost comes on the back of an exciting year for the Stockholm-based startup, having raised over€38 millionin August. Micromobility is a booming trend in Europe and the industry has been heating up over the past few weeks with new funding announcements and acquisitions.	<triplet> VoiTechnology <sub> €101.8 million <obj> RECEIVES  <triplet> Raine Group <sub> €101.8 million <obj> INVESTS  <triplet> VNV Global <sub> €101.8 million <obj> INVESTS  <triplet> Inbox Capital <sub> €101.8 million <obj> INVESTS  <triplet> Nordic Ninja <sub> €101.8 million <obj> INVESTS  <triplet> Stena Sessan <sub> €101.8 million <obj> INVESTS  <triplet> Kreos Capital <sub> €101.8 million <obj> INVESTS  <triplet> Ilmarinen <sub> €101.8 million <obj> INVESTS  <triplet> Nineyards Equity <sub> €101.8 million <obj> INVESTS  <triplet> ICT Capital <sub> €101.8 million <obj> INVESTS  <triplet> others <sub> €101.8 million <obj> INVESTS 
73	Athens-based Woli picks up €700k for its money app for families and plans European growth	Introducing a smart money app for families to the market, Woli has just raised €700k in a Seed round led by renowned fintech investors. Eleven Ventures leads the participation with prominent angels and entrepreneurs like Victor Trokoudes from Plum Fintech, Thanassis Sofianos from Relevance, and Hristo Borisov from Payhawk getting in on the action. Based in Athens, Woli streamlines family money by offering an engaging and educational money app for kids. It gives parents a tool to automate allowance and offers absolute security and control. So, not only can parents have oversight over the account, but kids can start to get some financial independence and learn how to be financially responsible. Across Europe, pocket money tends to still be in cash – leaving kids and teens to manage their own money and set their own goals without digital support and without a debit card for ecommerce payments. In 2022, ecommerce payments and card payments are the standard, so without an account like Woli, teens are left behind.	<triplet> Woli <sub> 700k <obj> RECEIVES  <triplet> Eleven Ventures <sub> 700k <obj> INVESTS  <triplet> Victor Trokoudes <sub> 700k <obj> INVESTS  <triplet> Thanassis Sofianos <sub> 700k <obj> INVESTS  <triplet> Hristo Borisov <sub> 700k <obj> INVESTS 
846	Paris-based Virtuo raises €78.7 million to scale its car-on-demand service	Virtuo, the car-on-demand service helping drive the shift away from car ownership across Europe, has raised €50 million in a Series C funding round led by AXA Venture Partners. The round, which also saw participation from Bpifrance through their Large Venture funds, Alpha Intelligence Capital and H14 alongside existing investors Balderton Capital, Iris Capital and Raise Ventures, takes the total equity raised by Virtuo close to €82 million since its creation. In addition, Natixis and several members of the Banque Populaire and Caisse d’Epargne Group are granting Virtuo a pan-European asset based financing of €30 million, to support the development of its fleet, bringing this new round of financing to around €78.7 million.	<triplet> Virtuo <sub> €50 million <obj> RECEIVES  <triplet> AXA Venture Partners <sub> €50 million <obj> INVESTS  <triplet> Bpifrance <sub> €50 million <obj> INVESTS  <triplet> Alpha Intelligence Capital <sub> €50 million <obj> INVESTS  <triplet> H14 <sub> €50 million <obj> INVESTS  <triplet> Balderton Capital <sub> €50 million <obj> INVESTS  <triplet> Iris Capital <sub> €50 million <obj> INVESTS  <triplet> Raise Ventures <sub> €50 million <obj> INVESTS  <triplet> Natixis <sub> €30 million <obj> INVESTS  <triplet> several members of the Banque Populaire <sub> €30 million <obj> INVESTS  <triplet> Caisse d’Epargne Group <sub> €30 million <obj> INVESTS  <triplet> Virtuo <sub> €30 million <obj> RECEIVES 
3242	Brighton-based Curiscope raises $1 million to bring learning to life through augmented and virtual reality	Curiscope, the mixed reality startup behind one of the most watched virtual reality experiences of all time, Great White Sharks, today announces the successful completion of a Seed funding round worth $1 million. The funding round was led by the VC firm LocalGlobe and builds upon a successful crowdfunding campaign forTheVirtuali-Tee that raised $117,436 across Kickstarter and Indiegogo last year. The capital injection allows the Brighton-based startup to now launch the product worldwide. The Virtuali-Tee is a high-quality t-shirt, partnered with a free app, which enables children and adults to discover the human body in fully animated 3D using immersive augmented and virtual reality. The t-shirt’s unique design is picked up by the camera function on the app, allowing users to jump into the pumping heart to bring learning to life, or pop their phone into a Google Cardboard to immerse themselves entirely in an anatomical adventure. The experience can be enjoyed with others or alone through the ‘selfie mode’. The Virtuali-Tee has already been purchased by customers in over 60 countries and the accompanying app is available for free on iOS and Android to download for phones and tablets. The t-shirt is priced at £25 or $29 and comes in adult sizes (ranging from sizes XS to XXL) and child sizes (ranging from 3-4 years to 12-14 years). It also comes gift packed in a conveniently sized box that fits through the letterbox.	<triplet> Curiscope <sub> $1 million <obj> RECEIVES  <triplet> LocalGlobe <sub> $1 million <obj> INVESTS 
2613	Amsterdam-based online pension bank Brand New Day raises €25 million from existing investors	Amsterdam-based Brand New Day is an online pension bank that provides asset management, wealth management, and insurance brokerage services. Founded in 2009, Brand New Day has just raised an investment of €25 million from existing investors. Thanks to a rapid growth in customers, Brand New Day has been already been profitable for several years. The new investment will be used to strengthen the bank’s equity so that it can grow faster in the pension savings market in the coming years. Brand New Day has had a banking license since 2017, and can therefore offer products based on savings. To attract and release pension savings, a bank must hold a certain amount of equity, and the extra equity gained from this recent investment will allow Brand New Day to grow faster in the pension savings market and thus increase its profitability.	<triplet> Brand New Day <sub> €25 million <obj> RECEIVES  <triplet> existing investors <sub> €25 million <obj> INVESTS 
